Vej-Id,latlon
101 1011492-0 1/ 124 -,"(55.65054271299065, 12.510778460442603)"
101 1011492-0 1/ 124 +,"(55.65054271299065, 12.510778460442603)"
101 1011492-0 1/ 124 T,"(55.65054271299065, 12.510778460442603)"
101 1011600-0 2/ 400 -,"(55.63834706500187, 12.599838269435882)"
101 1011600-0 2/ 400 +,"(55.63834706500187, 12.599838269435882)"
101 1011600-0 2/ 400 T,"(55.63834706500187, 12.599838269435882)"
101 1011908-0 0/ 66 -,"(55.692288697604056, 12.56879032211812)"
101 1011908-0 0/ 66 +,"(55.692288697604056, 12.56879032211812)"
101 1011908-0 0/ 66 T,"(55.692288697604056, 12.56879032211812)"
101 1011964-0 0/ 200 -,"(55.7017609966504, 12.533557598190583)"
101 1011964-0 0/ 200 +,"(55.7017609966504, 12.533557598190583)"
101 1011964-0 0/ 200 T,"(55.7017609966504, 12.533557598190583)"
101 1012890-0 6/ 560 -,"(55.72019722082563, 12.494825396925338)"
101 1012890-0 6/ 560 +,"(55.72019722082563, 12.494825396925338)"
101 1012890-0 6/ 560 T,"(55.72019722082563, 12.494825396925338)"
101 1013300-0 0/ 50 -,"(55.66961274731953, 12.579849211900692)"
101 1013300-0 0/ 50 +,"(55.66961274731953, 12.579849211900692)"
101 1013300-0 0/ 50 T,"(55.66961274731953, 12.579849211900692)"
101 1013332-0 0/ 781 -,"(55.693663427558285, 12.548061150045454)"
101 1013332-0 0/ 781 +,"(55.693663427558285, 12.548061150045454)"
101 1013332-0 0/ 781 T,"(55.693663427558285, 12.548061150045454)"
101 1013516-0 0/ 194 -,"(55.694661404695644, 12.593157479018775)"
101 1013516-0 0/ 194 +,"(55.694661404695644, 12.593157479018775)"
101 1013516-0 0/ 194 T,"(55.694661404695644, 12.593157479018775)"
101 1013520-0 0/ 562 -,"(55.667689428001474, 12.570875705616064)"
101 1013520-0 0/ 562 +,"(55.667689428001474, 12.570875705616064)"
101 1013520-0 0/ 562 T,"(55.667689428001474, 12.570875705616064)"
101 1017280-0 0/ 332 -,"(55.686740283249435, 12.58114513134791)"
101 1017280-0 0/ 332 +,"(55.686740283249435, 12.58114513134791)"
101 1017280-0 0/ 332 T,"(55.686740283249435, 12.58114513134791)"
101 1017592-0 0/ 635 -,"(55.670247339817685, 12.595037788918507)"
101 1017592-0 0/ 635 +,"(55.670247339817685, 12.595037788918507)"
101 1017592-0 0/ 635 T,"(55.670247339817685, 12.595037788918507)"
101 1017684-0 1/ 651 -,"(55.71834847399148, 12.539867518736276)"
101 1017684-0 1/ 651 +,"(55.71834847399148, 12.539867518736276)"
101 1017684-0 1/ 651 T,"(55.71834847399148, 12.539867518736276)"
101 1018128-0 3/ 215 -,"(55.64145923961838, 12.565354165197471)"
101 1018128-0 3/ 215 +,"(55.64145923961838, 12.565354165197471)"
101 1018128-0 3/ 215 T,"(55.64145923961838, 12.565354165197471)"
101 1018308-0 1/ 516 -,"(55.6616648011912, 12.518010357362561)"
101 1018308-0 1/ 516 +,"(55.6616648011912, 12.518010357362561)"
101 1018308-0 1/ 516 T,"(55.6616648011912, 12.518010357362561)"
101 1018636-0 0/ 180 -,"(55.68337519431064, 12.555881920983444)"
101 1018636-0 0/ 180 +,"(55.68337519431064, 12.555881920983444)"
101 1018636-0 0/ 180 T,"(55.68337519431064, 12.555881920983444)"
101 1012068-0 0/ 299 -,"(55.71099768612919, 12.482854854308032)"
101 1012068-0 0/ 299 +,"(55.71099768612919, 12.482854854308032)"
101 1012068-0 0/ 299 T,"(55.71099768612919, 12.482854854308032)"
101 1014796-0 0/ 147 -,"(55.66221009794055, 12.519061434034798)"
101 1014796-0 0/ 147 +,"(55.66221009794055, 12.519061434034798)"
101 1014796-0 0/ 147 T,"(55.66221009794055, 12.519061434034798)"
101 1014844-0 0/ 156 -,"(55.64833038495705, 12.530201925523807)"
101 1014844-0 0/ 156 +,"(55.64833038495705, 12.530201925523807)"
101 1014844-0 0/ 156 T,"(55.64833038495705, 12.530201925523807)"
101 1016264-0 0/ 248 -,"(55.70914754600817, 12.566649896002213)"
101 1016264-0 0/ 248 +,"(55.70914754600817, 12.566649896002213)"
101 1016264-0 0/ 248 T,"(55.70914754600817, 12.566649896002213)"
101 1018404-0 0/ 349 -,"(55.6617924689856, 12.612252436612218)"
101 1018404-0 0/ 349 +,"(55.6617924689856, 12.612252436612218)"
101 1018404-0 0/ 349 T,"(55.6617924689856, 12.612252436612218)"
101 1018541-0 3/ 638 -,"(55.637366670503035, 12.582357128442032)"
101 1018541-0 3/ 638 +,"(55.637366670503035, 12.582357128442032)"
101 1018541-0 3/ 638 T,"(55.637366670503035, 12.582357128442032)"
101 1015968-0 1/ 61 -1,"(55.67272654815631, 12.47854337155303)"
101 1015968-0 1/ 61 -2,"(55.67272654815631, 12.47854337155303)"
101 1015968-0 1/ 61 -,"(55.67272654815631, 12.47854337155303)"
101 1015968-0 1/ 61 +1,"(55.67272654815631, 12.47854337155303)"
101 1015968-0 1/ 61 +2,"(55.67272654815631, 12.47854337155303)"
101 1015968-0 1/ 61 +,"(55.67272654815631, 12.47854337155303)"
101 1015968-0 1/ 61 T,"(55.67272654815631, 12.47854337155303)"
